name,rating,org_price,offer_price,clean_original_price,clean_offer_price
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",4.3,"₹16,999","₹13,499",16999.0,13499.0
"Infinix Note 11 (Graphite Black, 128 GB)",4.2,"₹16,999","₹14,499",16999.0,14499.0
"realme C25_Y (Glacier Blue, 128 GB)",4.5,"₹13,999","₹11,999",13999.0,11999.0
"realme 3i (Diamond Red, 64 GB)",4.4,"₹10,999","₹10,499",10999.0,10499.0
"realme 3i (Diamond Black, 64 GB)",4.4,"₹10,999","₹10,499",10999.0,10499.0
"OPPO A55 (Starry Black, 64 GB)",4.3,"₹18,799","₹12,199",18799.0,12199.0
"realme Narzo 50A Prime (Flash Blue, 64 GB)",4.0,"₹12,999","₹10,749",12999.0,10749.0
"Infinix Hot 11S (Silver Wave, 64 GB)",4.3,"₹13,999","₹10,999",13999.0,10999.0
GREENBERRI VIRAT,3.7,"₹1,499",₹799,1499.0,799.0
"REDMI 11 Prime (Playful Green, 128 GB)",4.1,"₹16,999","₹13,490",16999.0,13490.0
"Infinix Note 11s (Mithril Grey, 64 GB)",4.3,"₹16,999","₹13,999",16999.0,13999.0
"REDMI Note 11 (Space Black, 128 GB)",4.2,"₹19,999","₹14,999",19999.0,14999.0
GREENBERRI RAFALE,4.0,,₹899,,899.0
"SAMSUNG GALAXY M13 (Stardust Brown, 64 GB)",4.2,"₹14,999","₹10,999",14999.0,10999.0
"vivo Y15c (Wave Green, 64 GB)",4.2,"₹14,990","₹11,499",14990.0,11499.0
"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,999","₹10,499",10999.0,10499.0
Cellecor E3,3.9,"₹1,599","₹1,176",1599.0,1176.0
"realme C25_Y (Metal Grey, 128 GB)",4.5,"₹13,999","₹11,999",13999.0,11999.0
"OPPO A57 (Glowing Black, 64 GB)",4.4,"₹16,990","₹13,999",16990.0,13999.0
"realme Narzo 50A Prime (Flash Black, 128 GB)",4.0,"₹14,499","₹11,999",14499.0,11999.0
"Infinix Note 11 (Glacier Green, 128 GB)",4.2,"₹16,999","₹14,499",16999.0,14499.0
"Infinix Hot 11S (Polar Black, 128 GB)",4.3,"₹14,999","₹11,999",14999.0,11999.0
"Tecno POVA 4 (Cryolite Blue, 128 GB)",4.2,"₹14,499","₹13,949",14499.0,13949.0
"OPPO A77 (Sky Blue, 128 GB)",4.3,"₹19,999","₹15,999",19999.0,15999.0
"OPPO A77 (Sunset Orange, 128 GB)",4.3,"₹19,999","₹15,999",19999.0,15999.0
"realme Narzo 50A (Oxygen Green, 64 GB)",4.4,,"₹11,499",,11499.0
"realme 3i (Diamond Red, 64 GB)",4.4,"₹10,999","₹10,499",10999.0,10499.0
"Infinix Note 11s (Haze Green, 64 GB)",4.3,"₹16,999","₹13,999",16999.0,13999.0
"OPPO A57 (Glowing Green, 64 GB)",4.4,"₹16,990","₹13,999",16990.0,13999.0
"OPPO A15s (Dynamic Black, 128 GB)",4.3,"₹14,990","₹12,790",14990.0,12790.0
"REDMI Note 10S (Shadow Black, 64 GB)",4.4,,"₹13,690",,13690.0
"POCO M2 Reloaded (Greyish Black, 64 GB)",4.3,,"₹11,999",,11999.0
GREENBERRI RAFALE,4.0,,₹899,,899.0
"Redmi 10 Prime (Astral White, 64 GB)",3.9,"₹14,499","₹14,490",14499.0,14490.0
"Infinix Note 11 (Glacier Green, 64 GB)",4.3,"₹14,999","₹12,499",14999.0,12499.0
"OPPO A31 (Mystery Black, 128 GB)",4.3,"₹15,990","₹14,489",15990.0,14489.0
Cellecor E3,3.9,"₹1,599","₹1,176",1599.0,1176.0
"Redmi 8 (Sapphire Blue, 64 GB)",4.4,"₹10,999","₹10,749",10999.0,10749.0
"Nokia G21 (Dusk, 64 GB)",4.0,,"₹14,499",,14499.0
"Redmi Y2 (Dark Grey, 64 GB)",4.4,,"₹13,499",,13499.0
"Infinix Note 5 (Berlin Gray, 32 GB)",4.2,,"₹10,999",,10999.0
"Infinix Note 5 (Ice Blue, 32 GB)",4.2,,"₹10,999",,10999.0
"REDMI 11 Prime 5G (Meadow Green, 64 GB)",4.2,"₹15,999","₹14,499",15999.0,14499.0
